"","X","taxon","latitude","longitude","type","RValue","longitude.1","latitude.1","optional"
"56",56,"Cucurbita_cordata",27.291667,-112.825,"H",23,-112.825,27.291667,TRUE
"57",57,"Cucurbita_cordata",27.608333,-113.075,"H",30,-113.075,27.608333,TRUE
"58",58,"Cucurbita_cordata",26,-111.35,"H",106,-111.35,26,TRUE
"59",59,"Cucurbita_cordata",28.641697,-114.023861,"H",36,-114.023861,28.641697,TRUE
"60",60,"Cucurbita_cordata",28.643889,-114.046389,"H",1,-114.046389,28.643889,TRUE
"61",61,"Cucurbita_cordata",23.375,-109.775,"H",78,-109.775,23.375,TRUE
"62",62,"Cucurbita_cordata",23.608333,-110.108333,"H",110,-110.108333,23.608333,TRUE
"63",63,"Cucurbita_cordata",27.1,-112.975,"H",67,-112.975,27.1,TRUE
"64",64,"Cucurbita_cordata",27.108333,-112.991667,"H",24,-112.991667,27.108333,TRUE
"65",65,"Cucurbita_cordata",27.341667,-112.291667,"H",121,-112.291667,27.341667,TRUE
"66",66,"Cucurbita_cordata",28.008333,-113.008333,"H",127,-113.008333,28.008333,TRUE
"67",67,"Cucurbita_cordata",28.475,-113.425,"H",21,-113.425,28.475,TRUE
"68",68,"Cucurbita_cordata",28.725,-113.641667,"H",109,-113.641667,28.725,TRUE
"69",69,"Cucurbita_cordata",28.758333,-113.625,"H",102,-113.625,28.758333,TRUE
"70",70,"Cucurbita_cordata",28.758333,-113.616667,"H",25,-113.616667,28.758333,TRUE
"71",71,"Cucurbita_cordata",24.091667,-110.991667,"H",111,-110.991667,24.091667,TRUE
"72",72,"Cucurbita_cordata",24.091667,-110.991667,"H",37,-110.991667,24.091667,TRUE
"73",73,"Cucurbita_cordata",28.205,-114.043889,"H",69,-114.043889,28.205,TRUE
"74",74,"Cucurbita_cordata",28.308333,-113.708333,"H",66,-113.708333,28.308333,TRUE
"75",75,"Cucurbita_cordata",28.308333,-113.708333,"H",32,-113.708333,28.308333,TRUE
"76",76,"Cucurbita_cordata",26.025,-111.358333,"H",26,-111.358333,26.025,TRUE
"77",77,"Cucurbita_cordata",26.358333,-111.791667,"H",98,-111.791667,26.358333,TRUE
"78",78,"Cucurbita_cordata",26.358333,-111.775,"H",96,-111.775,26.358333,TRUE
"79",79,"Cucurbita_cordata",26.358333,-111.791667,"H",40,-111.791667,26.358333,TRUE
"80",80,"Cucurbita_cordata",26.358333,-111.775,"H",129,-111.775,26.358333,TRUE
"81",81,"Cucurbita_cordata",27.108333,-112.991667,"H",64,-112.991667,27.108333,TRUE
"82",82,"Cucurbita_cordata",27.108333,-112.991667,"H",27,-112.991667,27.108333,TRUE
"83",83,"Cucurbita_cordata",28.341667,-113.725,"H",133,-113.725,28.341667,TRUE
"84",84,"Cucurbita_cordata",28.341667,-113.725,"H",83,-113.725,28.341667,TRUE
"85",85,"Cucurbita_cordata",28.958333,-113.575,"H",49,-113.575,28.958333,TRUE
"86",86,"Cucurbita_cordata",28.958333,-113.575,"H",112,-113.575,28.958333,TRUE
"87",87,"Cucurbita_cordata",28.791667,-113.325,"H",11,-113.325,28.791667,TRUE
"88",88,"Cucurbita_cordata",28.791667,-113.325,"H",136,-113.325,28.791667,TRUE
"89",89,"Cucurbita_cordata",23.50039356,-110.0837089,"H",41,-110.0837089,23.50039356,TRUE
"90",90,"Cucurbita_cordata",28.74486,-113.754115,"H",58,-113.754115,28.74486,TRUE
"91",91,"Cucurbita_cordata",32.3826172,-115.5099536,"H",57,-115.5099536,32.3826172,TRUE
"92",92,"Cucurbita_cordata",25.933333,-111.533333,"H",18,-111.533333,25.933333,TRUE
"93",93,"Cucurbita_cordata",26.024444,-111.351944,"H",2,-111.351944,26.024444,TRUE
"94",94,"Cucurbita_cordata",26.358333,-112.608333,"H",7,-112.608333,26.358333,TRUE
"95",95,"Cucurbita_cordata",24.083,-110.983,"H",5,-110.983,24.083,TRUE
"96",96,"Cucurbita_cordata",24.083139,-110.983278,"H",128,-110.983278,24.083139,TRUE
"97",97,"Cucurbita_cordata",25.676353,-111.563475,"H",100,-111.563475,25.676353,TRUE
"98",98,"Cucurbita_cordata",28.14986,-113.74535,"H",104,-113.74535,28.14986,TRUE
"99",99,"Cucurbita_cordata",28.30417,-112.87667,"H",86,-112.87667,28.30417,TRUE
"100",100,"Cucurbita_cordata",24.083139,-110.983278,"H",89,-110.983278,24.083139,TRUE
"101",101,"Cucurbita_cordata",26.35,-112.6,"H",60,-112.6,26.35,TRUE
"102",102,"Cucurbita_cordata",26.350028,-112.599944,"H",70,-112.599944,26.350028,TRUE
"103",103,"Cucurbita_cordata",26.358333,-112.441667,"H",34,-112.441667,26.358333,TRUE
"104",104,"Cucurbita_cordata",27.083,-112.317,"H",28,-112.317,27.083,TRUE
"105",105,"Cucurbita_cordata",27.083444,-112.316611,"H",99,-112.316611,27.083444,TRUE
"106",106,"Cucurbita_cordata",27.091667,-112.325,"H",95,-112.325,27.091667,TRUE
"107",107,"Cucurbita_cordata",27.558583,-113.095583,"H",62,-113.095583,27.558583,TRUE
"108",108,"Cucurbita_cordata",27.559,-113.096,"H",13,-113.096,27.559,TRUE
"109",109,"Cucurbita_cordata",28.466806,-113.416833,"H",61,-113.416833,28.466806,TRUE
"110",110,"Cucurbita_cordata",28.467,-113.417,"H",14,-113.417,28.467,TRUE
"111",111,"Cucurbita_cordata",28.475,-113.425,"H",82,-113.425,28.475,TRUE
"112",112,"Cucurbita_cordata",28.616556,-113.450111,"H",12,-113.450111,28.616556,TRUE
"113",113,"Cucurbita_cordata",28.617,-113.45,"H",68,-113.45,28.617,TRUE
"114",114,"Cucurbita_cordata",28.666528,-113.449889,"H",80,-113.449889,28.666528,TRUE
"115",115,"Cucurbita_cordata",28.667,-113.45,"H",126,-113.45,28.667,TRUE
"116",116,"Cucurbita_cordata",28.716694,-113.800028,"H",54,-113.800028,28.716694,TRUE
"117",117,"Cucurbita_cordata",28.717,-113.8,"H",59,-113.8,28.717,TRUE
"118",118,"Cucurbita_cordata",28.749972,-113.783139,"H",8,-113.783139,28.749972,TRUE
"119",119,"Cucurbita_cordata",28.75,-113.783,"H",87,-113.783,28.75,TRUE
"120",120,"Cucurbita_cordata",28.758333,-113.625,"H",116,-113.625,28.758333,TRUE
"121",121,"Cucurbita_cordata",28.819123,-113.529604,"H",71,-113.529604,28.819123,TRUE
"122",122,"Cucurbita_cordata",28.833,-113.567,"H",97,-113.567,28.833,TRUE
"123",123,"Cucurbita_cordata",29.183,-113.85,"H",105,-113.85,29.183,TRUE
"124",124,"Cucurbita_cordata",29.183472,-113.849944,"H",74,-113.849944,29.183472,TRUE
"125",125,"Cucurbita_cordata",29.25,-114.2,"H",29,-114.2,29.25,TRUE
"126",126,"Cucurbita_cordata",29.25,-114.2,"H",134,-114.2,29.25,TRUE
"127",127,"Cucurbita_cordata",32.53875,-116.44858,"H",53,-116.44858,32.53875,TRUE
"128",128,"Cucurbita_cordata",25.925,-111.391667,"H",45,-111.391667,25.925,TRUE
"129",129,"Cucurbita_cordata",27.091667,-112.325,"H",117,-112.325,27.091667,TRUE
"130",130,"Cucurbita_cordata",27.691667,-113.025,"H",94,-113.025,27.691667,TRUE
"131",131,"Cucurbita_cordata",25.916667,-111.541667,"H",81,-111.541667,25.916667,TRUE
"132",132,"Cucurbita_cordata",25.925,-111.541667,"H",120,-111.541667,25.925,TRUE
"133",133,"Cucurbita_cordata",27.141667,-114.158333,"H",75,-114.158333,27.141667,TRUE
"134",134,"Cucurbita_cordata",28.608333,-113.408333,"H",118,-113.408333,28.608333,TRUE
"135",135,"Cucurbita_cordata",28.608333,-113.408333,"H",137,-113.408333,28.608333,TRUE
"136",136,"Cucurbita_cordata",24.13,-110.83,"H",92,-110.83,24.13,TRUE
"137",137,"Cucurbita_cordata",24.87,-110.97,"H",88,-110.97,24.87,TRUE
"138",138,"Cucurbita_cordata",26.35,-112.6,"H",85,-112.6,26.35,TRUE
"139",139,"Cucurbita_cordata",29.35,-114.42,"H",3,-114.42,29.35,TRUE
